web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120262-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3287171_uploaded_image1_1629317948.jpg","Niaga, Sénégal","600 000CFA","Vache"
"1765120262-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3287170_uploaded_image1_1629317800.jpg","Niaga, Sénégal","600 000CFA","Vache"
"1765120262-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3273490_uploaded_image1_1628621055.jpg","Guediawaye, Dakar, Sénégal","130 000CFA","Oies adultes"
"1765120262-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3271377_uploaded_image1_1628524523.jpg","Parcelle Assainies, Dakar, Sénégal","450 000CFA","Taureau"
"1765120262-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg","Dieuppeul-Derklé, Dakar, Sénégal","740 000CFA","Taureau"
"1765120262-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3263210_uploaded_image1_1628122860.jpg","Dieuppeul-Derklé, Dakar, Sénégal","740 000CFA","Taureau"
"1765120262-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3256827_uploaded_image1_1627902901.jpg","Dakar Plateau, Dakar, Sénégal","12 000CFA","Poisson aquarium"
"1765120262-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3254310_uploaded_image1_1627784670.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Chaton"
"1765120262-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3253864_uploaded_image1_1627751756.jpg","Dieuppeul-Derklé, Dakar, Sénégal","740 000CFA","Bœufs"
"1765120262-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3243586_uploaded_image1_1627157324.jpg","Point E, Dakar, Sénégal","15 000CFA","Perruche ondulée"
"1765120262-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3240329_uploaded_image1_1626964752.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Bœufs"
"1765120262-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3222114_uploaded_image1_1626003610.jpg","Grand Dakar, Dakar, Sénégal","Prix sur demande","Chatons 2 et 3 mois"
"1765120262-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3215371_uploaded_image1_1625676061.jpg","Point E, Dakar, Sénégal","20 000CFA","Perruches ondulées"
